n,k,m,distance
2.0,9.0,17.0,15.23500002
2.0,9.0,18.0,15.30200002
2.0,9.0,19.0,15.35050002
2.0,9.0,20.0,15.40300002
2.0,9.0,21.0,15.44550002
2.0,9.0,22.0,15.48600002
2.0,9.0,23.0,15.52300002
2.0,9.0,24.0,15.54650002
2.0,9.0,25.0,15.57300002
2.0,9.0,26.0,15.61600002
2.0,9.0,27.0,15.64100002
2.0,9.0,28.0,15.66550002
2.0,9.0,29.0,15.67650002
2.0,9.0,30.0,15.70250002
2.0,10.0,1.0,9.25200001
2.0,10.0,2.0,12.09400001
2.0,10.0,3.0,13.63750002
2.0,10.0,4.0,14.43500002
2.0,10.0,5.0,15.03800002
2.0,10.0,6.0,15.44250002
2.0,10.0,7.0,15.77350002
2.0,10.0,8.0,16.04050002
2.0,10.0,9.0,16.26450002
2.0,10.0,10.0,16.43850002
2.0,10.0,11.0,16.54650002
2.0,10.0,12.0,16.68900002
2.0,10.0,13.0,16.80050002
2.0,10.0,14.0,16.87900002
2.0,10.0,15.0,16.96100002
2.0,10.0,16.0,17.04850002
2.0,10.0,17.0,17.11700002
2.0,10.0,18.0,17.19200002
2.0,10.0,19.0,17.24600002
2.0,10.0,20.0,17.30200002
2.0,10.0,21.0,17.35200002
2.0,10.0,22.0,17.38150002
2.0,10.0,23.0,17.43050002
2.0,10.0,24.0,17.45650002
2.0,10.0,25.0,17.50100002
2.0,10.0,26.0,17.53100002
2.0,10.0,27.0,17.56600002
2.0,10.0,28.0,17.58400002
2.0,10.0,29.0,17.61300002
2.0,10.0,30.0,17.63200002
3.0,2.0,1.0,1.00000001
3.0,2.0,2.0,1.66300002
3.0,2.0,3.0,2.11250002
3.0,2.0,4.0,2.41500002
3.0,2.0,5.0,2.60050003
3.0,2.0,6.0,2.72500003
3.0,2.0,7.0,2.82000003
3.0,2.0,8.0,2.88150003
3.0,2.0,9.0,2.91300003
3.0,2.0,10.0,2.94050003
3.0,2.0,11.0,2.96050003
3.0,2.0,12.0,2.97050004
3.0,2.0,13.0,2.97950004
3.0,2.0,14.0,2.99000004
3.0,2.0,15.0,2.99200004
3.0,2.0,16.0,2.99450004
3.0,2.0,17.0,2.99500004
3.0,2.0,18.0,2.99800004
3.0,2.0,19.0,2.99650004
3.0,2.0,20.0,2.99900004
3.0,2.0,21.0,2.99850004
3.0,2.0,22.0,2.99950004
3.0,2.0,23.0,2.99900004
3.0,2.0,24.0,2.99950004
3.0,2.0,25.0,3.00000004
3.0,2.0,26.0,2.99900004
3.0,2.0,27.0,2.99950004
3.0,2.0,28.0,2.99950004
3.0,2.0,29.0,3.00000004
3.0,2.0,30.0,3.00000004
3.0,3.0,1.0,2.02000001
3.0,3.0,2.0,2.83200001
3.0,3.0,3.0,3.30700002
3.0,3.0,4.0,3.68200002
3.0,3.0,5.0,4.01900002
3.0,3.0,6.0,4.32550002
3.0,3.0,7.0,4.61000002
3.0,3.0,8.0,4.86100003
3.0,3.0,9.0,5.02450003
3.0,3.0,10.0,5.18350003
3.0,3.0,11.0,5.31500003
3.0,3.0,12.0,5.43450003
3.0,3.0,13.0,5.51450003
3.0,3.0,14.0,5.59650003
3.0,3.0,15.0,5.66450003
3.0,3.0,16.0,5.71100003
3.0,3.0,17.0,5.75750003
3.0,3.0,18.0,5.79200003
3.0,3.0,19.0,5.83150003
3.0,3.0,20.0,5.85950003
3.0,3.0,21.0,5.87250003
3.0,3.0,22.0,5.89300003
3.0,3.0,23.0,5.91800003
3.0,3.0,24.0,5.92250003
3.0,3.0,25.0,5.93000004
3.0,3.0,26.0,5.93800004
3.0,3.0,27.0,5.95250004
3.0,3.0,28.0,5.96250004
3.0,3.0,29.0,5.96950004
3.0,3.0,30.0,5.97200004
3.0,4.0,1.0,3.07200001
3.0,4.0,2.0,4.13350001
3.0,4.0,3.0,4.74050002
3.0,4.0,4.0,5.17200002
3.0,4.0,5.0,5.52200002
3.0,4.0,6.0,5.87500002
3.0,4.0,7.0,6.20850002
3.0,4.0,8.0,6.50500002
3.0,4.0,9.0,6.74350002
3.0,4.0,10.0,6.97700002
3.0,4.0,11.0,7.18550003
3.0,4.0,12.0,7.37650003
3.0,4.0,13.0,7.53850003
3.0,4.0,14.0,7.68350003
3.0,4.0,15.0,7.81250003
3.0,4.0,16.0,7.96900003
3.0,4.0,17.0,8.05850003
3.0,4.0,18.0,8.14650003
3.0,4.0,19.0,8.24900003
3.0,4.0,20.0,8.33200003
3.0,4.0,21.0,8.39850003
3.0,4.0,22.0,8.49150003
3.0,4.0,23.0,8.52650003
3.0,4.0,24.0,8.58200003
3.0,4.0,25.0,8.61200003
3.0,4.0,26.0,8.66500003
3.0,4.0,27.0,8.70100003
3.0,4.0,28.0,8.72800003
3.0,4.0,29.0,8.75550003
3.0,4.0,30.0,8.77750003
3.0,5.0,1.0,4.08900001
3.0,5.0,2.0,5.45400001
3.0,5.0,3.0,6.21150002
3.0,5.0,4.0,6.68250002
3.0,5.0,5.0,7.08500002
3.0,5.0,6.0,7.45050002
3.0,5.0,7.0,7.79450002
3.0,5.0,8.0,8.10950002
3.0,5.0,9.0,8.37950002
3.0,5.0,10.0,8.65050002
3.0,5.0,11.0,8.90300002
3.0,5.0,12.0,9.10550002
3.0,5.0,13.0,9.35450002
3.0,5.0,14.0,9.52700002
3.0,5.0,15.0,9.72400003
3.0,5.0,16.0,9.87650003
3.0,5.0,17.0,10.03500003
3.0,5.0,18.0,10.17950003
3.0,5.0,19.0,10.31450003
3.0,5.0,20.0,10.47950003
3.0,5.0,21.0,10.59250003
3.0,5.0,22.0,10.70500003
3.0,5.0,23.0,10.82850003
3.0,5.0,24.0,10.88150003
