n,k,m,distance
3.0,2.0,17.0,3.369661
3.0,2.0,18.0,3.407552
3.0,2.0,19.0,3.4371835
3.0,2.0,20.0,3.469722
3.0,2.0,21.0,3.4842155
3.0,2.0,22.0,3.5110965
3.0,2.0,23.0,3.53518
3.0,2.0,24.0,3.5531075
3.0,2.0,25.0,3.56473
3.0,2.0,26.0,3.589108
3.0,2.0,27.0,3.6018155
3.0,2.0,28.0,3.6105815
3.0,2.0,29.0,3.629516
3.0,2.0,30.0,3.641633
3.0,3.0,1.0,1.026395
3.0,3.0,2.0,1.389341
3.0,3.0,3.0,1.612444
3.0,3.0,4.0,1.788271
3.0,3.0,5.0,1.943423
3.0,3.0,6.0,2.088348
3.0,3.0,7.0,2.2183085
3.0,3.0,8.0,2.3296915
3.0,3.0,9.0,2.422013
3.0,3.0,10.0,2.5043975
3.0,3.0,11.0,2.5701655
3.0,3.0,12.0,2.6379005
3.0,3.0,13.0,2.694777
3.0,3.0,14.0,2.736856
3.0,3.0,15.0,2.7800575
3.0,3.0,16.0,2.823733
3.0,3.0,17.0,2.861545
3.0,3.0,18.0,2.893939
3.0,3.0,19.0,2.9313025
3.0,3.0,20.0,2.95865
3.0,3.0,21.0,2.977591
3.0,3.0,22.0,3.0047
3.0,3.0,23.0,3.033796
3.0,3.0,24.0,3.0424575
3.0,3.0,25.0,3.0625085
3.0,3.0,26.0,3.080658
3.0,3.0,27.0,3.0944345
3.0,3.0,28.0,3.1028565
3.0,3.0,29.0,3.1234695
3.0,3.0,30.0,3.1344
3.0,4.0,1.0,1.026395
3.0,4.0,2.0,1.362457
3.0,4.0,3.0,1.559764
3.0,4.0,4.0,1.686042
3.0,4.0,5.0,1.8021505
3.0,4.0,6.0,1.903899
3.0,4.0,7.0,2.00427
3.0,4.0,8.0,2.08828
3.0,4.0,9.0,2.168828
3.0,4.0,10.0,2.2463845
3.0,4.0,11.0,2.3073675
3.0,4.0,12.0,2.3717985
3.0,4.0,13.0,2.436049
3.0,4.0,14.0,2.483712
3.0,4.0,15.0,2.533112
3.0,4.0,16.0,2.5827325
3.0,4.0,17.0,2.62609
3.0,4.0,18.0,2.6686575
3.0,4.0,19.0,2.710862
3.0,4.0,20.0,2.750288
3.0,4.0,21.0,2.7847735
3.0,4.0,22.0,2.8198455
3.0,4.0,23.0,2.851024
3.0,4.0,24.0,2.876103
3.0,4.0,25.0,2.902026
3.0,4.0,26.0,2.931265
3.0,4.0,27.0,2.953056
3.0,4.0,28.0,2.97184
3.0,4.0,29.0,2.9957215
3.0,4.0,30.0,3.0137985
3.0,5.0,1.0,1.026395
3.0,5.0,2.0,1.3505815
3.0,5.0,3.0,1.534357
3.0,5.0,4.0,1.649857
3.0,5.0,5.0,1.747878
3.0,5.0,6.0,1.827606
3.0,5.0,7.0,1.9035535
3.0,5.0,8.0,1.972327
3.0,5.0,9.0,2.030922
3.0,5.0,10.0,2.0928015
3.0,5.0,11.0,2.150431
3.0,5.0,12.0,2.200924
3.0,5.0,13.0,2.253137
3.0,5.0,14.0,2.3010135
3.0,5.0,15.0,2.344365
3.0,5.0,16.0,2.3890545
3.0,5.0,17.0,2.427071
3.0,5.0,18.0,2.47289
3.0,5.0,19.0,2.508226
3.0,5.0,20.0,2.553399
3.0,5.0,21.0,2.5874705
3.0,5.0,22.0,2.621937
3.0,5.0,23.0,2.6641555
3.0,5.0,24.0,2.6819815
3.0,5.0,25.0,2.719185
3.0,5.0,26.0,2.747065
3.0,5.0,27.0,2.777528
3.0,5.0,28.0,2.8025515
3.0,5.0,29.0,2.8276195
3.0,5.0,30.0,2.847704
3.0,6.0,1.0,1.026395
3.0,6.0,2.0,1.3470945
3.0,6.0,3.0,1.5278625
3.0,6.0,4.0,1.633187
3.0,6.0,5.0,1.7216925
3.0,6.0,6.0,1.7895365
3.0,6.0,7.0,1.8561735
3.0,6.0,8.0,1.9167105
3.0,6.0,9.0,1.96599
3.0,6.0,10.0,2.012987
3.0,6.0,11.0,2.05654
3.0,6.0,12.0,2.104891
3.0,6.0,13.0,2.1455795
3.0,6.0,14.0,2.186009
3.0,6.0,15.0,2.2276405
3.0,6.0,16.0,2.2625705
3.0,6.0,17.0,2.297467
3.0,6.0,18.0,2.3378565
3.0,6.0,19.0,2.375294
3.0,6.0,20.0,2.4113785
3.0,6.0,21.0,2.447476
3.0,6.0,22.0,2.47594
3.0,6.0,23.0,2.5103315
3.0,6.0,24.0,2.535983
3.0,6.0,25.0,2.5683875
3.0,6.0,26.0,2.592307
3.0,6.0,27.0,2.628547
3.0,6.0,28.0,2.648907
3.0,6.0,29.0,2.6759215
3.0,6.0,30.0,2.7038495
3.0,7.0,1.0,1.026395
3.0,7.0,2.0,1.3465525
3.0,7.0,3.0,1.522458
3.0,7.0,4.0,1.6241305
3.0,7.0,5.0,1.703517
3.0,7.0,6.0,1.767545
3.0,7.0,7.0,1.825234
3.0,7.0,8.0,1.876906
3.0,7.0,9.0,1.921713
3.0,7.0,10.0,1.9651155
3.0,7.0,11.0,2.0027635
3.0,7.0,12.0,2.0405635
3.0,7.0,13.0,2.081895
3.0,7.0,14.0,2.112332
3.0,7.0,15.0,2.147964
3.0,7.0,16.0,2.1813625
3.0,7.0,17.0,2.214957
3.0,7.0,18.0,2.24485
3.0,7.0,19.0,2.2780655
3.0,7.0,20.0,2.313341
3.0,7.0,21.0,2.341139
3.0,7.0,22.0,2.375377
3.0,7.0,23.0,2.4018125
3.0,7.0,24.0,2.4282
3.0,7.0,25.0,2.457168
3.0,7.0,26.0,2.482417
3.0,7.0,27.0,2.513048
3.0,7.0,28.0,2.5361185
3.0,7.0,29.0,2.5584315
3.0,7.0,30.0,2.584053
3.0,8.0,1.0,1.026395
3.0,8.0,2.0,1.3459745
3.0,8.0,3.0,1.5218195
3.0,8.0,4.0,1.6192205
3.0,8.0,5.0,1.6951905
3.0,8.0,6.0,1.7519245
3.0,8.0,7.0,1.80612
3.0,8.0,8.0,1.852764
3.0,8.0,9.0,1.890913
3.0,8.0,10.0,1.9290035
3.0,8.0,11.0,1.960338
3.0,8.0,12.0,1.9950075
3.0,8.0,13.0,2.027199
3.0,8.0,14.0,2.0567545
3.0,8.0,15.0,2.0878735
3.0,8.0,16.0,2.116599
3.0,8.0,17.0,2.1448795
3.0,8.0,18.0,2.176648
3.0,8.0,19.0,2.2037585
3.0,8.0,20.0,2.23178
3.0,8.0,21.0,2.258042
3.0,8.0,22.0,2.2820315
3.0,8.0,23.0,2.3138205
3.0,8.0,24.0,2.336827
3.0,8.0,25.0,2.3649045
3.0,8.0,26.0,2.3850065
3.0,8.0,27.0,2.413546
3.0,8.0,28.0,2.4348
3.0,8.0,29.0,2.4581095
3.0,8.0,30.0,2.481137
3.0,9.0,1.0,1.026395
3.0,9.0,2.0,1.3431175
3.0,9.0,3.0,1.5184805
3.0,9.0,4.0,1.61327
3.0,9.0,5.0,1.687053
3.0,9.0,6.0,1.7404085
3.0,9.0,7.0,1.790081
3.0,9.0,8.0,1.8330745
3.0,9.0,9.0,1.8703345
3.0,9.0,10.0,1.904317
3.0,9.0,11.0,1.9298245
3.0,9.0,12.0,1.957609
3.0,9.0,13.0,1.987905
3.0,9.0,14.0,2.013497
3.0,9.0,15.0,2.042463
3.0,9.0,16.0,2.0669685
3.0,9.0,17.0,2.088981
3.0,9.0,18.0,2.120565
3.0,9.0,19.0,2.1400845
3.0,9.0,20.0,2.1701835
3.0,9.0,21.0,2.195555
3.0,9.0,22.0,2.217115
3.0,9.0,23.0,2.2442025
3.0,9.0,24.0,2.2652755
3.0,9.0,25.0,2.2913575
3.0,9.0,26.0,2.3094725
3.0,9.0,27.0,2.335195
3.0,9.0,28.0,2.3560795
3.0,9.0,29.0,2.376236
3.0,9.0,30.0,2.401976
3.0,10.0,1.0,1.026395
3.0,10.0,2.0,1.3438885
3.0,10.0,3.0,1.517653
3.0,10.0,4.0,1.60976
3.0,10.0,5.0,1.6819495
3.0,10.0,6.0,1.7356185
3.0,10.0,7.0,1.7819375
3.0,10.0,8.0,1.823825
3.0,10.0,9.0,1.856572
3.0,10.0,10.0,1.8890225
3.0,10.0,11.0,1.913952
3.0,10.0,12.0,1.943404
3.0,10.0,13.0,1.9679945
3.0,10.0,14.0,1.991434
3.0,10.0,15.0,2.0153125
3.0,10.0,16.0,2.040495
3.0,10.0,17.0,2.05943
3.0,10.0,18.0,2.0835865
3.0,10.0,19.0,2.1051455
3.0,10.0,20.0,2.1316245
3.0,10.0,21.0,2.1528965
3.0,10.0,22.0,2.173233
3.0,10.0,23.0,2.198683
3.0,10.0,24.0,2.219383
3.0,10.0,25.0,2.239578
3.0,10.0,26.0,2.258782
3.0,10.0,27.0,2.2816435
3.0,10.0,28.0,2.298721
