n,k,m,distance
3,7,5,10.27850002
3,7,6,10.69050002
3,7,7,11.09350002
3,7,8,11.43250002
3,7,9,11.74100002
3,7,10,12.03050002
3,7,11,12.28750002
3,7,12,12.55150002
3,7,13,12.80650002
3,7,14,13.04400002
3,7,15,13.26950002
3,7,16,13.48950002
3,7,17,13.68950002
3,7,18,13.88650002
3,7,19,14.09050002
3,7,20,14.32000002
3,7,21,14.47300003
3,7,22,14.66450003
3,7,23,14.83100003
3,7,24,14.98250003
3,7,25,15.13450003
3,7,26,15.26800003
3,7,27,15.44050003
3,7,28,15.52650003
3,7,29,15.67600003
3,7,30,15.80150003
3,8,1,7.20700001
3,8,2,9.44850001
3,8,3,10.66500002
3,8,4,11.35600002
3,8,5,11.91850002
3,8,6,12.35750002
3,8,7,12.75450002
3,8,8,13.13150002
3,8,9,13.43550002
3,8,10,13.73000002
3,8,11,13.98050002
3,8,12,14.26700002
3,8,13,14.52100002
3,8,14,14.76700002
3,8,15,15.01950002
3,8,16,15.24350002
3,8,17,15.45450002
3,8,18,15.68200002
3,8,19,15.90750002
3,8,20,16.11350002
3,8,21,16.31000002
3,8,22,16.49200002
3,8,23,16.70450002
3,8,24,16.85350002
3,8,25,17.06750003
3,8,26,17.16750003
3,8,27,17.37850003
3,8,28,17.51250003
3,8,29,17.65700003
3,8,30,17.81700003
3,9,1,8.21400001
3,9,2,10.77150001
3,9,3,12.17350002
3,9,4,12.93900002
3,9,5,13.53900002
3,9,6,14.00950002
3,9,7,14.44000002
3,9,8,14.81250002
3,9,9,15.15450002
3,9,10,15.46500002
3,9,11,15.70150002
3,9,12,15.96500002
3,9,13,16.25000002
3,9,14,16.49600002
3,9,15,16.74700002
3,9,16,16.96950002
3,9,17,17.18500002
3,9,18,17.44000002
3,9,19,17.62350002
3,9,20,17.86650002
3,9,21,18.11900002
3,9,22,18.31200002
3,9,23,18.51350002
3,9,24,18.65950002
3,9,25,18.86750002
3,9,26,19.06450002
3,9,27,19.26600002
3,9,28,19.39350003
3,9,29,19.55600003
3,9,30,19.75700003
3,10,1,9.25200001
3,10,2,12.11550001
3,10,3,13.67500002
3,10,4,14.51950002
3,10,5,15.19400002
3,10,6,15.70450002
3,10,7,16.14800002
3,10,8,16.54700002
3,10,9,16.89450002
3,10,10,17.22250002
3,10,11,17.47500002
3,10,12,17.76950002
3,10,13,18.02750002
3,10,14,18.27250002
3,10,15,18.52550002
3,10,16,18.77500002
3,10,17,18.97350002
3,10,18,19.22300002
3,10,19,19.43350002
3,10,20,19.70650002
3,10,21,19.92750002
3,10,22,20.11950002
3,10,23,20.33950002
3,10,24,20.53750002
3,10,25,20.73000002
3,10,26,20.92700002
3,10,27,21.12500002
3,10,28,21.29150002
3,10,29,21.46250002
3,10,30,21.64500002
4,2,1,1.00000001
4,2,2,1.74950002
4,2,3,2.30350002
4,2,4,2.73400003
